,date_of_price,name,distillery,age,vintage,bottled,ABV,ml,numbered,limited_edition,single_cask,ichiros_malt,latest_price
175,2018-12-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 2631)",Chichibu,6.0,2010.0,2016.0,59.7,700,False,False,True,True,1112
176,2020-06-01,"Chichibu, Single Cask (Takashimaya), One of 296 Bottles (Cask 2653)",Chichibu,5.0,2010.0,2015.0,59.4,700,True,False,True,False,1040
177,2020-08-01,"Chichibu, Single Cask, (Cask 1774)",Chichibu,6.0,2012.0,2018.0,63.3,700,False,False,True,False,1075
178,2021-04-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 609)",Chichibu,5.0,2009.0,2014.0,61.6,700,False,False,True,True,1241
179,2020-02-01,"Chichibu, Single Cask (Private Bottling), One of 322 Bottles (Cask 2625)",Chichibu,4.0,2010.0,2014.0,59.7,700,True,False,True,False,885
180,2020-04-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 205 Bottles (Cask 188)",Chichibu,6.0,2008.0,2014.0,62.4,700,True,False,True,True,1288
181,2020-12-01,"Chichibu, Single Cask, (Cask 641)",Chichibu,,2009.0,,61.7,700,False,False,True,False,1148
182,2021-05-01,"Chichibu, Single Cask, One of 200 Bottles (Cask 2074)",Chichibu,7.0,2012.0,2019.0,62.0,700,True,False,True,False,1473
183,2020-01-01,"Chichibu, Single Cask , One of 188 Bottles (Cask 711)",Chichibu,8.0,2010.0,2018.0,61.3,700,True,False,True,False,2396
184,2021-02-01,"Chichibu, Single Cask , One of 213 Bottles (Cask 198)",Chichibu,7.0,2008.0,2015.0,62.0,700,True,False,True,False,914
185,2021-05-01,"Chichibu, Single Cask, One of 153 Bottles (Cask 2279)",Chichibu,7.0,2012.0,2019.0,60.4,700,True,False,True,False,1620
186,2021-02-01,"Chichibu, Single Cask , (Cask 1387)",Chichibu,3.0,2009.0,2012.0,61.0,700,False,False,True,False,694
187,2021-04-01,"Chichibu, Single Cask, One of 185 Bottles (Cask 5036)",Chichibu,,2011.0,,59.1,700,True,False,True,False,1248
188,2021-05-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 227 Bottles (Cask 1865)",Chichibu,,2012.0,,62.1,700,True,False,True,True,1593
189,2020-03-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 317 Bottles (Cask 707)",Chichibu,6.0,2010.0,2016.0,63.1,700,True,False,True,True,925
190,2019-06-01,"Chichibu, Single Cask, One of 261 Bottles (Cask 3292)",Chichibu,3.0,2011.0,2015.0,57.6,700,True,False,True,False,2284
191,2020-10-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 2651)",Chichibu,,,,59.0,700,False,False,True,True,1183
192,2021-02-01,"Chichibu, Single Cask (Takashimaya), One of 249 Bottles (Cask 3291)",Chichibu,6.0,2010.0,2016.0,57.4,700,True,False,True,False,853
193,2021-05-01,"Chichibu, Single Cask (Fantasista Utamaro), One of 210 Bottles (Cask 5080)",Chichibu,,2011.0,,60.0,700,True,False,True,False,1294
194,2021-04-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 345 Bottles (Cask 2533)",Chichibu,7.0,2013.0,2020.0,62.0,700,True,False,True,True,891
195,2021-02-01,"Chichibu, Single Cask, One of 306 Bottles (Cask 2593)",Chichibu,,2013.0,,49.7,700,True,False,True,False,927
196,2020-09-01,"Chichibu, Single Cask, (Cask 972)",Chichibu,9.0,2010.0,2019.0,61.6,700,False,False,True,False,2176
197,2019-10-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 293 Bottles (Cask 2650)",Chichibu,5.0,2010.0,2015.0,59.3,700,True,False,True,True,881
198,2021-04-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 214 Bottles (Cask 640)",Chichibu,6.0,2009.0,2015.0,61.6,700,True,False,True,True,1911
199,2020-12-01,"Chichibu, Single Cask (Bottled for La Maison du Whisky), (Cask 651)",Chichibu,4.0,2010.0,2014.0,61.6,700,False,False,True,False,1154
200,2021-04-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 208 Bottles (Cask 3201)",Chichibu,6.0,2014.0,2020.0,63.0,700,True,False,True,True,1116
201,2021-02-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 422)",Chichibu,,2009.0,,61.8,700,False,False,True,True,918
202,2020-03-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 317 Bottles (Cask 707)",Chichibu,6.0,2010.0,2016.0,63.1,700,True,False,True,True,925
203,2021-04-01,"Chichibu, Single Cask (Takashimaya), (Cask 5072)",Chichibu,,2012.0,,61.8,700,False,False,True,False,1146
204,2020-08-01,"Chichibu, Single Cask (Takashimaya), (Cask 2641)",Chichibu,6.0,2010.0,2016.0,59.0,700,False,False,True,False,1069
205,2019-06-01,"Chichibu, Single Cask, One of 261 Bottles (Cask 3292)",Chichibu,3.0,2011.0,2015.0,57.6,700,True,False,True,False,2284
206,2017-04-01,"Chichibu, Single Cask (Ichiro´s Malt), (Cask 635)",Chichibu,,2009.0,,60.1,700,False,False,True,True,597
207,2020-11-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 337 Bottles (Cask 706)",Chichibu,4.0,2010.0,2014.0,63.4,700,True,False,True,True,671
208,2021-02-01,"Chichibu, Single Cask (Ichiro´s Malt), One of 199 Bottles (Cask 2113)",Chichibu,6.0,2012.0,2018.0,64.1,700,True,False,True,True,788
